条件: 頭数>=14, ギャップ>=2, 良馬場, 距離1600m以上

オッズ帯             訓練件数     訓練ROI     検証件数     検証ROI
----------------------------------------------------
2~10倍             395     427.3%       111     208.3%
3~10倍             279     540.2%        71     195.8%
3~15倍             306     492.5%        75     185.3%
4~10倍             182     792.1%        46     235.9%
4~15倍             209     689.8%        50     217.0%
2~15倍             422     400.0%       115     201.0%
3~20倍             325     463.8%        80     173.8%
