race_id,axis_name,axis_pop,axis_style,pace_label,n_field,axis_score,gap_1_3,axis_pace_fit,pace_style_match,p_win,p_place,actual_rank,hit_win,hit_place
202507040109,パフュームセント,3,差し,スロー,6,0.7155,0.2377,0.6369,0,0.3437,0.6553,1,1,1
202509040308,エリーナストーム,1,差し,スロー,6,0.7624,0.2626,0.5062,0,0.3755,0.6535,5,0,0
202509040610,グローリーリンク,1,差し,スロー,7,0.7618,0.2859,0.5987,0,0.3863,0.6521,1,1,1
202507040112,トレチーメ,2,先行,ミドルスロー,7,0.8030,0.2989,0.6293,1,0.3918,0.6437,5,0,0
202509030308,ダノンシーマ,2,差し,スロー,6,0.7238,0.1609,0.4913,0,0.3181,0.6275,3,0,1
202501010108,マイネルフーガ,2,先行,スロー,5,0.6996,0.2057,0.5464,1,0.3479,0.6237,3,0,1
202506030711,スマイルスルー,3,先行,スロー,11,0.7887,0.1542,0.6630,1,0.3512,0.6142,6,0,0
202501010412,アルマデオロ,1,差し,スロー,7,0.7223,0.1904,0.3770,0,0.2955,0.6106,1,1,1
202508021008,バレルターン,1,差し,スロー,7,0.7227,0.1904,0.5705,0,0.3206,0.6052,2,0,1
202504010309,レッドロスタム,1,先行,スロー,8,0.6935,0.1181,0.7512,1,0.3281,0.6020,4,0,0
202508010810,モジャーリオ,4,差し,スロー,7,0.7264,0.1577,0.5189,0,0.3048,0.6012,5,0,0
202509050810,ローランドバローズ,1,差し,スロー,11,0.7466,0.1916,0.5255,0,0.3078,0.6012,1,1,1
202501010510,サクラファレル,1,逃げ,スロー,10,0.7782,0.2093,0.7188,1,0.3965,0.5990,1,1,1
202506050207,ミクニインスパイア,2,先行,スロー,11,0.8046,0.1665,0.6597,1,0.3826,0.5965,1,1,1
202502011208,レクスノヴァス,1,差し,スロー,9,0.7604,0.1922,0.4009,0,0.2951,0.5962,1,1,1
202509030110,メイショウズイウン,1,差し,ミドルスロー,9,0.7724,0.1825,0.5760,0,0.3234,0.5933,2,0,1
202505020306,ベストミーエヴァー,1,差し,スロー,6,0.7226,0.1297,0.3978,0,0.2782,0.5915,2,0,1
202608010907,ウィルサヴァイブ,3,先行,スロー,10,0.7312,0.1487,0.7430,1,0.3372,0.5913,2,0,1
202505040510,デュアルウィルダー,1,先行,スロー,8,0.7370,0.2130,0.5416,1,0.3198,0.5904,3,0,1
202508040207,ピックデムッシュ,1,差し,スロー,7,0.6542,0.1077,0.4631,0,0.2595,0.5872,2,0,1
202508030510,ローランドバローズ,1,差し,スロー,10,0.7155,0.0861,0.5843,0,0.2737,0.5867,1,1,1
