race_id,race_name,grade,距離,コース,馬場状態,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過順,上がり3F,単勝オッズ,人気,馬体重,年,場コード,回次,日次,レース番号,単勝払戻,複勝払戻,馬連払戻,馬単払戻,ワイド払戻,三連複払戻,三連単払戻
201701010101,,,1800,芝,良,1,3,3,リープフラウミルヒ,牝2,54,丹内祐次,1:49.4,,1-1-1-1,35.3,3.0,2,406(-4),2017,01,01,01,01,3:300,3:130|5:110,3 - 5:160,3 → 5:360,3 - 5:110|3 - 7:160|5 - 7:130,3 - 5 - 7:160,3 → 5 → 7:810
201701010101,,,1800,芝,良,2,5,5,ディバインブリーズ,牡2,54,ルメール,1:49.5,1/2,5-5-5-3,35.1,1.5,1,484(-4),2017,01,01,01,01,3:300,3:130|5:110,3 - 5:160,3 → 5:360,3 - 5:110|3 - 7:160|5 - 7:130,3 - 5 - 7:160,3 → 5 → 7:810
201701010101,,,1800,芝,良,3,7,7,スズカワークシップ,牡2,54,福永祐一,1:50.1,3.1/2,2-2-2-2,36.0,6.2,3,450(-16),2017,01,01,01,01,3:300,3:130|5:110,3 - 5:160,3 → 5:360,3 - 5:110|3 - 7:160|5 - 7:130,3 - 5 - 7:160,3 → 5 → 7:810
201701010101,,,1800,芝,良,4,1,1,ハイタイド,牡2,54,蛯名正義,1:50.1,クビ,6-6-7-5,35.5,31.1,5,442(-10),2017,01,01,01,01,3:300,3:130|5:110,3 - 5:160,3 → 5:360,3 - 5:110|3 - 7:160|5 - 7:130,3 - 5 - 7:160,3 → 5 → 7:810
201701010101,,,1800,芝,良,5,2,2,クリノバルテュス,牡2,53,木幡初也,1:51.3,7,3-3-3-4,37.0,22.8,4,472(-18),2017,01,01,01,01,3:300,3:130|5:110,3 - 5:160,3 → 5:360,3 - 5:110|3 - 7:160|5 - 7:130,3 - 5 - 7:160,3 → 5 → 7:810
201701010101,,,1800,芝,良,6,4,4,ハッシュレート,牡2,53,井上敏樹,1:51.9,3.1/2,6-6-5-5,37.5,82.9,7,470(-6),2017,01,01,01,01,3:300,3:130|5:110,3 - 5:160,3 → 5:360,3 - 5:110|3 - 7:160|5 - 7:130,3 - 5 - 7:160,3 → 5 → 7:810
201701010101,,,1800,芝,良,7,6,6,プロローグ,牝2,53,坂井瑠星,1:52.5,3.1/2,3-3-3-7,38.2,65.0,6,466(+10),2017,01,01,01,01,3:300,3:130|5:110,3 - 5:160,3 → 5:360,3 - 5:110|3 - 7:160|5 - 7:130,3 - 5 - 7:160,3 → 5 → 7:810
201701010102,,,1000,ダート,良,1,7,10,クリノレオノール,牝3,53,城戸義政,0:59.1,,4-4,35.4,3.0,1,434(-4),2017,01,01,01,02,10:300,10:120|12:190|5:150,10 - 12:980,10 → 12:1880,10 - 12:430|5 - 10:240|5 - 12:770,5 - 10 - 12:1440,10 → 12 → 5:7370
201701010102,,,1000,ダート,良,2,8,12,プリモガナドール,牝3,54,池添謙一,0:59.2,1/2,3-3,35.7,5.6,4,456(0),2017,01,01,01,02,10:300,10:120|12:190|5:150,10 - 12:980,10 → 12:1880,10 - 12:430|5 - 10:240|5 - 12:770,5 - 10 - 12:1440,10 → 12 → 5:7370
201701010102,,,1000,ダート,良,3,5,5,コウセイキャサリン,牝3,53,坂井瑠星,0:59.3,3/4,1-1,35.9,4.8,3,428(-4),2017,01,01,01,02,10:300,10:120|12:190|5:150,10 - 12:980,10 → 12:1880,10 - 12:430|5 - 10:240|5 - 12:770,5 - 10 - 12:1440,10 → 12 → 5:7370
201701010102,,,1000,ダート,良,4,4,4,サンコロナ,牝3,54,蛯名正義,0:59.6,2,4-4,35.9,12.6,6,402(+4),2017,01,01,01,02,10:300,10:120|12:190|5:150,10 - 12:980,10 → 12:1880,10 - 12:430|5 - 10:240|5 - 12:770,5 - 10 - 12:1440,10 → 12 → 5:7370
201701010102,,,1000,ダート,良,5,6,7,アラタマクリスエス,牝3,54,中井裕二,1:00.0,2.1/2,4-6,36.3,66.7,11,422(-18),2017,01,01,01,02,10:300,10:120|12:190|5:150,10 - 12:980,10 → 12:1880,10 - 12:430|5 - 10:240|5 - 12:770,5 - 10 - 12:1440,10 → 12 → 5:7370
201701010102,,,1000,ダート,良,6,7,9,ティアドーロ,牝3,54,福永祐一,1:00.1,クビ,2-2,36.7,3.8,2,466(+2),2017,01,01,01,02,10:300,10:120|12:190|5:150,10 - 12:980,10 → 12:1880,10 - 12:430|5 - 10:240|5 - 12:770,5 - 10 - 12:1440,10 → 12 → 5:7370
201701010102,,,1000,ダート,良,7,5,6,フォーエバースカイ,牝3,53,井上敏樹,1:00.4,2,9-9,35.6,39.7,7,370(0),2017,01,01,01,02,10:300,10:120|12:190|5:150,10 - 12:980,10 → 12:1880,10 - 12:430|5 - 10:240|5 - 12:770,5 - 10 - 12:1440,10 → 12 → 5:7370
201701010102,,,1000,ダート,良,8,8,11,ビバジャンティ,牝3,54,古川吉洋,1:00.4,ハナ,9-9,35.6,49.6,9,474(-4),2017,01,01,01,02,10:300,10:120|12:190|5:150,10 - 12:980,10 → 12:1880,10 - 12:430|5 - 10:240|5 - 12:770,5 - 10 - 12:1440,10 → 12 → 5:7370
201701010102,,,1000,ダート,良,9,3,3,アスヘノキボウ,牝3,54,柴山雄一,1:00.5,3/4,11-11,35.5,61.6,10,420(0),2017,01,01,01,02,10:300,10:120|12:190|5:150,10 - 12:980,10 → 12:1880,10 - 12:430|5 - 10:240|5 - 12:770,5 - 10 - 12:1440,10 → 12 → 5:7370
201701010102,,,1000,ダート,良,10,6,8,マイアミトロピカル,牝3,54,荻野琢真,1:00.6,1/2,12-11,35.5,47.1,8,420(-8),2017,01,01,01,02,10:300,10:120|12:190|5:150,10 - 12:980,10 → 12:1880,10 - 12:430|5 - 10:240|5 - 12:770,5 - 10 - 12:1440,10 → 12 → 5:7370
201701010102,,,1000,ダート,良,11,2,2,ラブパレード,牝3,51,横山武史,1:00.9,1.3/4,8-7,36.5,11.2,5,464(+6),2017,01,01,01,02,10:300,10:120|12:190|5:150,10 - 12:980,10 → 12:1880,10 - 12:430|5 - 10:240|5 - 12:770,5 - 10 - 12:1440,10 → 12 → 5:7370
201701010102,,,1000,ダート,良,12,1,1,クリスタ,牝3,53,小崎綾也,1:01.1,1.1/4,7-7,36.9,114.1,12,426(-8),2017,01,01,01,02,10:300,10:120|12:190|5:150,10 - 12:980,10 → 12:1880,10 - 12:430|5 - 10:240|5 - 12:770,5 - 10 - 12:1440,10 → 12 → 5:7370
201701010103,,,2400,ダート,良,1,3,3,ハイクアウト,牡3,56,古川吉洋,2:35.5,,3-3-4-3,38.1,5.8,2,478(-6),2017,01,01,01,03,3:580,3:160|5:240|8:110,3 - 5:3310,3 → 5:4750,3 - 5:1040|3 - 8:290|5 - 8:530,3 - 5 - 8:2110,3 → 5 → 8:16870
201701010103,,,2400,ダート,良,2,5,5,ハレカイ,牡3,56,勝浦正樹,2:35.7,1.1/2,4-6-6-4,38.0,13.9,7,484(-12),2017,01,01,01,03,3:580,3:160|5:240|8:110,3 - 5:3310,3 → 5:4750,3 - 5:1040|3 - 8:290|5 - 8:530,3 - 5 - 8:2110,3 → 5 → 8:16870
201701010103,,,2400,ダート,良,3,6,8,ワンナイトインパリ,牡3,56,ルメール,2:35.9,1.1/4,2-2-2-1,38.8,1.9,1,496(+6),2017,01,01,01,03,3:580,3:160|5:240|8:110,3 - 5:3310,3 → 5:4750,3 - 5:1040|3 - 8:290|5 - 8:530,3 - 5 - 8:2110,3 → 5 → 8:16870
201701010103,,,2400,ダート,良,4,8,12,サトノヴィクトリー,牡3,56,ティータ,2:36.8,5,6-7-6-7,39.2,13.8,6,450(+2),2017,01,01,01,03,3:580,3:160|5:240|8:110,3 - 5:3310,3 → 5:4750,3 - 5:1040|3 - 8:290|5 - 8:530,3 - 5 - 8:2110,3 → 5 → 8:16870
201701010103,,,2400,ダート,良,5,8,11,アーダルベルト,牡3,56,丸山元気,2:36.9,クビ,11-3-4-6,39.4,41.1,8,424(-8),2017,01,01,01,03,3:580,3:160|5:240|8:110,3 - 5:3310,3 → 5:4750,3 - 5:1040|3 - 8:290|5 - 8:530,3 - 5 - 8:2110,3 → 5 → 8:16870
201701010103,,,2400,ダート,良,6,4,4,ジャカンドジョー,牡3,56,黛弘人,2:37.0,1/2,8-9-1-2,40.0,7.7,4,454(-4),2017,01,01,01,03,3:580,3:160|5:240|8:110,3 - 5:3310,3 → 5:4750,3 - 5:1040|3 - 8:290|5 - 8:530,3 - 5 - 8:2110,3 → 5 → 8:16870
201701010103,,,2400,ダート,良,7,5,6,ジャイアンヴォーグ,牡3,56,藤岡佑介,2:37.6,3.1/2,1-1-3-4,40.4,6.0,3,502(-8),2017,01,01,01,03,3:580,3:160|5:240|8:110,3 - 5:3310,3 → 5:4750,3 - 5:1040|3 - 8:290|5 - 8:530,3 - 5 - 8:2110,3 → 5 → 8:16870
201701010103,,,2400,ダート,良,8,7,9,ドリームオブユー,牡3,56,蛯名正義,2:37.7,1/2,12-12-10-10,39.4,12.8,5,460(0),2017,01,01,01,03,3:580,3:160|5:240|8:110,3 - 5:3310,3 → 5:4750,3 - 5:1040|3 - 8:290|5 - 8:530,3 - 5 - 8:2110,3 → 5 → 8:16870
