race_id,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過順,上がり3F,単勝オッズ,人気,馬体重,年,場コード,回次,日次,レース番号,単勝払戻,複勝払戻,馬連払戻,馬単払戻,ワイド払戻,三連複払戻,三連単払戻
202403010101,1,2,2,ミレニアムヒロイン,牝3,53,永島まな,1:48.0,,1-1-1-1,39.9,3.8,1,428(-4),2024,03,01,01,01,2:380,2:150|7:190|12:190,2 - 7:1460,2 → 7:2450,2 - 7:510|2 - 12:570|7 - 12:490,2 - 7 - 12:2230,2 → 7 → 12:12220
202403010101,2,4,7,アパイシュナール,牝3,55,丸山元気,1:48.4,2.1/2,6-5-4-4,40.0,6.7,4,450(-2),2024,03,01,01,01,2:380,2:150|7:190|12:190,2 - 7:1460,2 → 7:2450,2 - 7:510|2 - 12:570|7 - 12:490,2 - 7 - 12:2230,2 → 7 → 12:12220
202403010101,3,7,12,ドレアンティア,牝3,54,角田大和,1:48.5,1/2,5-5-4-5,40.0,6.0,3,454(-4),2024,03,01,01,01,2:380,2:150|7:190|12:190,2 - 7:1460,2 → 7:2450,2 - 7:510|2 - 12:570|7 - 12:490,2 - 7 - 12:2230,2 → 7 → 12:12220
202403010101,4,6,10,ノーブルブランカ,牝3,55,菱田裕二,1:48.6,1,10-10-7-7,39.7,5.4,2,418(-6),2024,03,01,01,01,2:380,2:150|7:190|12:190,2 - 7:1460,2 → 7:2450,2 - 7:510|2 - 12:570|7 - 12:490,2 - 7 - 12:2230,2 → 7 → 12:12220
202403010101,5,4,6,オウケンヴィーナス,牝3,55,荻野極,1:48.7,クビ,12-12-7-9,39.7,24.7,8,400(+2),2024,03,01,01,01,2:380,2:150|7:190|12:190,2 - 7:1460,2 → 7:2450,2 - 7:510|2 - 12:570|7 - 12:490,2 - 7 - 12:2230,2 → 7 → 12:12220
202403010101,6,5,9,タガノハスビナー,牝3,55,城戸義政,1:48.7,ハナ,3-3-2-2,40.5,8.0,7,424(-6),2024,03,01,01,01,2:380,2:150|7:190|12:190,2 - 7:1460,2 → 7:2450,2 - 7:510|2 - 12:570|7 - 12:490,2 - 7 - 12:2230,2 → 7 → 12:12220
202403010101,7,8,14,カレンウユ,牝3,55,団野大成,1:48.9,1.1/4,8-7-6-5,40.1,7.6,6,490(0),2024,03,01,01,01,2:380,2:150|7:190|12:190,2 - 7:1460,2 → 7:2450,2 - 7:510|2 - 12:570|7 - 12:490,2 - 7 - 12:2230,2 → 7 → 12:12220
202403010101,8,6,11,アズベリー,牝3,55,吉田隼人,1:49.4,2.1/2,6-8-10-7,40.3,7.1,5,460(+10),2024,03,01,01,01,2:380,2:150|7:190|12:190,2 - 7:1460,2 → 7:2450,2 - 7:510|2 - 12:570|7 - 12:490,2 - 7 - 12:2230,2 → 7 → 12:12220
202403010101,9,7,13,フクチャンフクメイ,牝3,54,永野猛蔵,1:49.5,1/2,8-9-11-10,39.9,106.9,10,466(-2),2024,03,01,01,01,2:380,2:150|7:190|12:190,2 - 7:1460,2 → 7:2450,2 - 7:510|2 - 12:570|7 - 12:490,2 - 7 - 12:2230,2 → 7 → 12:12220
202403010101,10,8,15,キミハレモネード,牝3,52,水沼元輝,1:49.6,1,12-13-13-13,39.2,232.6,14,424(0),2024,03,01,01,01,2:380,2:150|7:190|12:190,2 - 7:1460,2 → 7:2450,2 - 7:510|2 - 12:570|7 - 12:490,2 - 7 - 12:2230,2 → 7 → 12:12220
