race_id,race_name,grade,距離,コース,馬場状態,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過順,上がり3F,単勝オッズ,人気,馬体重,調教師,調教タイム,年,場コード,回次,日次,レース番号,単勝払戻,複勝払戻,馬連払戻,馬単払戻,ワイド払戻,三連複払戻,三連単払戻
202044050101,3歳270万,,1600,ダート,,1,8,11,ヒトメボレ,牝3,54.0,笹川翼,1:42.8,,,39.8,1.2,1,,,,2020,44,05,01,1,11:120,11:110|9:150|7:240,9-11:520,11 → 9:660,9-11:270|7-11:410|7-9:900,7-9-11:1560,11 → 9 → 7:3420
202044050101,3歳270万,,1600,ダート,,2,7,9,マンジュシャカ,牡3,56.0,矢野貴之,1:42.9,3/4,,40.3,11.7,2,,,,2020,44,05,01,1,11:120,11:110|9:150|7:240,9-11:520,11 → 9:660,9-11:270|7-11:410|7-9:900,7-9-11:1560,11 → 9 → 7:3420
202044050101,3歳270万,,1600,ダート,,3,6,7,マルカンアクトレス,牝3,54.0,的場文男,1:43.1,3/4,,40.1,18.8,6,,,,2020,44,05,01,1,11:120,11:110|9:150|7:240,9-11:520,11 → 9:660,9-11:270|7-11:410|7-9:900,7-9-11:1560,11 → 9 → 7:3420
202044050101,3歳270万,,1600,ダート,,4,4,4,シャインヴィグラス,牝3,54.0,西啓太,1:43.3,3/4,,40.8,23.0,7,,,,2020,44,05,01,1,11:120,11:110|9:150|7:240,9-11:520,11 → 9:660,9-11:270|7-11:410|7-9:900,7-9-11:1560,11 → 9 → 7:3420
202044050101,3歳270万,,1600,ダート,,5,6,6,ガイストフォル,牡3,56.0,藤田凌,1:43.5,1.1/4,,40.9,12.1,3,,,,2020,44,05,01,1,11:120,11:110|9:150|7:240,9-11:520,11 → 9:660,9-11:270|7-11:410|7-9:900,7-9-11:1560,11 → 9 → 7:3420
202044050101,3歳270万,,1600,ダート,,6,2,2,シルバーサークル,牡3,56.0,安藤洋一,1:43.9,2,,40.5,16.1,5,,,,2020,44,05,01,1,11:120,11:110|9:150|7:240,9-11:520,11 → 9:660,9-11:270|7-11:410|7-9:900,7-9-11:1560,11 → 9 → 7:3420
202044050101,3歳270万,,1600,ダート,,7,8,10,エムオーキャンドル,牝3,54.0,岡村健司,1:44.3,2,,40.9,64.4,9,,,,2020,44,05,01,1,11:120,11:110|9:150|7:240,9-11:520,11 → 9:660,9-11:270|7-11:410|7-9:900,7-9-11:1560,11 → 9 → 7:3420
202044050101,3歳270万,,1600,ダート,,8,7,8,ナンセイスピード,牡3,56.0,本田正重,1:44.4,1/2,,40.6,193.6,11,,,,2020,44,05,01,1,11:120,11:110|9:150|7:240,9-11:520,11 → 9:660,9-11:270|7-11:410|7-9:900,7-9-11:1560,11 → 9 → 7:3420
202044050101,3歳270万,,1600,ダート,,9,3,3,コアドライヴ,牡3,56.0,町田直希,1:44.5,1/2,,40.7,68.6,10,,,,2020,44,05,01,1,11:120,11:110|9:150|7:240,9-11:520,11 → 9:660,9-11:270|7-11:410|7-9:900,7-9-11:1560,11 → 9 → 7:3420
202044050101,3歳270万,,1600,ダート,,10,5,5,ワッサンハート,牡3,56.0,有年淳,1:45.2,3.1/2,,42.2,13.1,4,,,,2020,44,05,01,1,11:120,11:110|9:150|7:240,9-11:520,11 → 9:660,9-11:270|7-11:410|7-9:900,7-9-11:1560,11 → 9 → 7:3420
202044050101,3歳270万,,1600,ダート,,11,1,1,ポッポ,牝3,54.0,水野翔,1:45.3,3/4,,41.3,42.2,8,,,,2020,44,05,01,1,11:120,11:110|9:150|7:240,9-11:520,11 → 9:660,9-11:270|7-11:410|7-9:900,7-9-11:1560,11 → 9 → 7:3420
202044050102,3歳270万,,1200,ダート,,1,8,13,アナザーバトル,牡3,56.0,藤本現暉,1:14.7,,,39.1,1.8,1,,,,2020,44,05,01,2,13:180,13:140|9:260|10:1510,9-13:830,13 → 9:1250,9-13:360|10-13:2790|9-10:8320,9-10-13:15880,13 → 9 → 10:47280
202044050102,3歳270万,,1200,ダート,,2,6,9,リュウワンティアオ,牡3,56.0,本田正重,1:14.7,クビ,,38.3,12.1,5,,,,2020,44,05,01,2,13:180,13:140|9:260|10:1510,9-13:830,13 → 9:1250,9-13:360|10-13:2790|9-10:8320,9-10-13:15880,13 → 9 → 10:47280
202044050102,3歳270万,,1200,ダート,,3,7,10,バジガクハート,牝3,54.0,小林拓未,1:15.1,2,,38.6,131.6,11,,,,2020,44,05,01,2,13:180,13:140|9:260|10:1510,9-13:830,13 → 9:1250,9-13:360|10-13:2790|9-10:8320,9-10-13:15880,13 → 9 → 10:47280
202044050102,3歳270万,,1200,ダート,,4,2,2,マムティハット,牡3,56.0,西啓太,1:15.1,アタマ,,39.0,8.2,3,,,,2020,44,05,01,2,13:180,13:140|9:260|10:1510,9-13:830,13 → 9:1250,9-13:360|10-13:2790|9-10:8320,9-10-13:15880,13 → 9 → 10:47280
202044050102,3歳270万,,1200,ダート,,5,4,5,トラビエーソ,牝3,54.0,酒井忍,1:15.2,1/2,,39.7,17.5,6,,,,2020,44,05,01,2,13:180,13:140|9:260|10:1510,9-13:830,13 → 9:1250,9-13:360|10-13:2790|9-10:8320,9-10-13:15880,13 → 9 → 10:47280
202044050102,3歳270万,,1200,ダート,,6,4,4,オオサキフラワー,牝3,54.0,矢野貴之,1:15.2,ハナ,,39.7,4.6,2,,,,2020,44,05,01,2,13:180,13:140|9:260|10:1510,9-13:830,13 → 9:1250,9-13:360|10-13:2790|9-10:8320,9-10-13:15880,13 → 9 → 10:47280
202044050102,3歳270万,,1200,ダート,,7,7,11,オーシャンリバー,牡3,56.0,張田昂,1:15.3,3/4,,38.2,61.2,9,,,,2020,44,05,01,2,13:180,13:140|9:260|10:1510,9-13:830,13 → 9:1250,9-13:360|10-13:2790|9-10:8320,9-10-13:15880,13 → 9 → 10:47280
