race_id,race_name,grade,距離,コース,馬場状態,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過順,上がり3F,単勝オッズ,人気,馬体重,調教師,調教タイム,年,場コード,回次,日次,レース番号,単勝払戻,複勝払戻,馬連払戻,馬単払戻,ワイド払戻,三連複払戻,三連単払戻
202143100101,2歳未勝利,,1500,ダート,,1,1,1,マイブレイブ,牡2,54.0,本田正重,1:36.2,,,38.9,2.1,1,,,,2021,43,10,01,1,1:210,1:120|4:120,1-4:330,1 → 4:700,1-4:130|1-3:100|3-4:120,1-3-4:170,1 → 4 → 3:850
202143100101,2歳未勝利,,1500,ダート,,2,4,4,ロマンスグレー,牡2,54.0,左海誠二,1:36.2,アタマ,,39.3,2.3,2,,,,2021,43,10,01,1,1:210,1:120|4:120,1-4:330,1 → 4:700,1-4:130|1-3:100|3-4:120,1-3-4:170,1 → 4 → 3:850
202143100101,2歳未勝利,,1500,ダート,,3,3,3,マキオートーケン,牡2,54.0,山崎誠士,1:38.7,大,,41.0,4.2,3,,,,2021,43,10,01,1,1:210,1:120|4:120,1-4:330,1 → 4:700,1-4:130|1-3:100|3-4:120,1-3-4:170,1 → 4 → 3:850
202143100101,2歳未勝利,,1500,ダート,,4,5,5,ヒトマル,牡2,54.0,森泰斗,1:39.1,2,,41.3,10.0,4,,,,2021,43,10,01,1,1:210,1:120|4:120,1-4:330,1 → 4:700,1-4:130|1-3:100|3-4:120,1-3-4:170,1 → 4 → 3:850
202143100101,2歳未勝利,,1500,ダート,,5,2,2,タンタシオン,牡2,54.0,本橋孝太,1:41.8,大,,43.4,85.3,5,,,,2021,43,10,01,1,1:210,1:120|4:120,1-4:330,1 → 4:700,1-4:130|1-3:100|3-4:120,1-3-4:170,1 → 4 → 3:850
202143100102,3歳九,,1200,ダート,,1,8,9,ミュリールベッルム,牝3,54.0,酒井忍,1:16.2,,,40.0,3.7,2,,,,2021,43,10,01,2,9:370,9:100|8:100|4:120,8-9:200,9 → 8:670,8-9:150|4-9:330|4-8:190,4-8-9:410,9 → 8 → 4:2720
202143100102,3歳九,,1200,ダート,,2,8,8,モズキゾク,牡3,56.0,澤田龍哉,1:16.9,3,,40.7,1.3,1,,,,2021,43,10,01,2,9:370,9:100|8:100|4:120,8-9:200,9 → 8:670,8-9:150|4-9:330|4-8:190,4-8-9:410,9 → 8 → 4:2720
202143100102,3歳九,,1200,ダート,,3,4,4,マオノルミエール,牝3,54.0,臼井健太,1:17.8,4,,40.0,19.8,5,,,,2021,43,10,01,2,9:370,9:100|8:100|4:120,8-9:200,9 → 8:670,8-9:150|4-9:330|4-8:190,4-8-9:410,9 → 8 → 4:2720
202143100102,3歳九,,1200,ダート,,4,6,6,ストラズスピアー,牡3,56.0,左海誠二,1:18.1,1.1/2,,41.9,19.1,3,,,,2021,43,10,01,2,9:370,9:100|8:100|4:120,8-9:200,9 → 8:670,8-9:150|4-9:330|4-8:190,4-8-9:410,9 → 8 → 4:2720
202143100102,3歳九,,1200,ダート,,5,2,2,フェスタフォンテン,牝3,54.0,笠野雄大,1:19.0,4,,41.0,62.5,7,,,,2021,43,10,01,2,9:370,9:100|8:100|4:120,8-9:200,9 → 8:670,8-9:150|4-9:330|4-8:190,4-8-9:410,9 → 8 → 4:2720
