race_id,race_name,grade,距離,コース,馬場状態,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過順,上がり3F,単勝オッズ,人気,馬体重,調教師,年,場コード,回次,日次,レース番号,単勝払戻,複勝払戻,馬連払戻,馬単払戻,ワイド払戻,三連複払戻,三連単払戻
202636030808,B2,,850,ダート,稍,1,5,5,アイドルフェスタ,牝4,54.0,菅原辰徳,0:52.2,,,37.6,27.1,7,,,2026,36,03,08,8,5:2710,5:730|1:130|3:210,1-5:6280,5-1:12670,1-5:1780|3-5:2280|1-3:440,1-3-5:8960,5 → 1 → 3:71200
202636030808,B2,,850,ダート,稍,2,1,1,ヤマニンライバリー,牡7,56.0,山本政聡,0:52.4,1,,37.3,2.6,1,,,2026,36,03,08,8,5:2710,5:730|1:130|3:210,1-5:6280,5-1:12670,1-5:1780|3-5:2280|1-3:440,1-3-5:8960,5 → 1 → 3:71200
202636030808,B2,,850,ダート,稍,3,3,3,キッスミーアイ,牝4,52.0,△坂井瑛音,0:52.5,1/2,,37.3,7.2,4,,,2026,36,03,08,8,5:2710,5:730|1:130|3:210,1-5:6280,5-1:12670,1-5:1780|3-5:2280|1-3:440,1-3-5:8960,5 → 1 → 3:71200
202636030808,B2,,850,ダート,稍,4,4,4,フエルテテソーロ,牝6,54.0,鈴木祐,0:52.6,1/2,,37.9,10.5,5,,,2026,36,03,08,8,5:2710,5:730|1:130|3:210,1-5:6280,5-1:12670,1-5:1780|3-5:2280|1-3:440,1-3-5:8960,5 → 1 → 3:71200
202636030808,B2,,850,ダート,稍,5,7,8,ステキナココロ,牡6,56.0,村上忍,0:52.6,クビ,,37.4,4.5,3,,,2026,36,03,08,8,5:2710,5:730|1:130|3:210,1-5:6280,5-1:12670,1-5:1780|3-5:2280|1-3:440,1-3-5:8960,5 → 1 → 3:71200
202636030808,B2,,850,ダート,稍,6,8,9,チャルドーニ,牝5,54.0,大坪慎,0:52.8,1,,37.8,3.7,2,,,2026,36,03,08,8,5:2710,5:730|1:130|3:210,1-5:6280,5-1:12670,1-5:1780|3-5:2280|1-3:440,1-3-5:8960,5 → 1 → 3:71200
202636030808,B2,,850,ダート,稍,7,2,2,モーニングボタン,牝4,54.0,小林凌,0:52.9,3/4,,37.1,69.3,10,,,2026,36,03,08,8,5:2710,5:730|1:130|3:210,1-5:6280,5-1:12670,1-5:1780|3-5:2280|1-3:440,1-3-5:8960,5 → 1 → 3:71200
202636030808,B2,,850,ダート,稍,8,6,6,マニフィックブリエ,牝7,54.0,南郷家全,0:53.0,クビ,,37.3,63.9,8,,,2026,36,03,08,8,5:2710,5:730|1:130|3:210,1-5:6280,5-1:12670,1-5:1780|3-5:2280|1-3:440,1-3-5:8960,5 → 1 → 3:71200
202636030808,B2,,850,ダート,稍,9,7,7,ハートループ,牝6,54.0,高橋悠里,0:53.1,1/2,,37.2,64.2,9,,,2026,36,03,08,8,5:2710,5:730|1:130|3:210,1-5:6280,5-1:12670,1-5:1780|3-5:2280|1-3:440,1-3-5:8960,5 → 1 → 3:71200
202636030808,B2,,850,ダート,稍,10,8,10,サクラリゲル,牡5,56.0,高松亮,0:53.1,クビ,,37.9,13.7,6,,,2026,36,03,08,8,5:2710,5:730|1:130|3:210,1-5:6280,5-1:12670,1-5:1780|3-5:2280|1-3:440,1-3-5:8960,5 → 1 → 3:71200
202636030809,続石賞(B1B2),,1400,ダート,稍,1,3,3,アーバンキッド,セ13,56.0,高橋悠里,1:31.4,,,39.6,6.1,3,,,2026,36,03,08,9,3:610,3:190|9:930|5:600,3-9:6840,3-9:12900,3-9:2120|3-5:1240|5-9:5070,3-5-9:23520,3 → 9 → 5:118930
202636030809,続石賞(B1B2),,1400,ダート,稍,2,7,9,テンマ,牡5,56.0,菅原辰徳,1:31.4,アタマ,,39.8,28.7,9,,,2026,36,03,08,9,3:610,3:190|9:930|5:600,3-9:6840,3-9:12900,3-9:2120|3-5:1240|5-9:5070,3-5-9:23520,3 → 9 → 5:118930
202636030809,続石賞(B1B2),,1400,ダート,稍,3,5,5,アシュラム,セ8,56.0,鈴木祐,1:32.0,4,,39.3,19.8,8,,,2026,36,03,08,9,3:610,3:190|9:930|5:600,3-9:6840,3-9:12900,3-9:2120|3-5:1240|5-9:5070,3-5-9:23520,3 → 9 → 5:118930
202636030809,続石賞(B1B2),,1400,ダート,稍,4,2,2,ウインチャチャ,牝7,55.0,小林凌,1:32.5,3,,41.1,7.8,5,,,2026,36,03,08,9,3:610,3:190|9:930|5:600,3-9:6840,3-9:12900,3-9:2120|3-5:1240|5-9:5070,3-5-9:23520,3 → 9 → 5:118930
202636030809,続石賞(B1B2),,1400,ダート,稍,5,4,4,ルボートン,牝5,54.0,山本聡哉,1:32.5,クビ,,40.3,3.6,1,,,2026,36,03,08,9,3:610,3:190|9:930|5:600,3-9:6840,3-9:12900,3-9:2120|3-5:1240|5-9:5070,3-5-9:23520,3 → 9 → 5:118930
202636030809,続石賞(B1B2),,1400,ダート,稍,6,1,1,シントーユタカ,牝5,54.0,佐々木志,1:32.6,クビ,,41.3,7.8,4,,,2026,36,03,08,9,3:610,3:190|9:930|5:600,3-9:6840,3-9:12900,3-9:2120|3-5:1240|5-9:5070,3-5-9:23520,3 → 9 → 5:118930
202636030809,続石賞(B1B2),,1400,ダート,稍,7,7,8,ダイビングヘッド,牝5,55.0,大坪慎,1:32.7,クビ,,40.3,35.4,10,,,2026,36,03,08,9,3:610,3:190|9:930|5:600,3-9:6840,3-9:12900,3-9:2120|3-5:1240|5-9:5070,3-5-9:23520,3 → 9 → 5:118930
202636030809,続石賞(B1B2),,1400,ダート,稍,8,8,11,ドドーニサンサン,セ8,56.0,山本政聡,1:32.7,クビ,,40.9,12.1,7,,,2026,36,03,08,9,3:610,3:190|9:930|5:600,3-9:6840,3-9:12900,3-9:2120|3-5:1240|5-9:5070,3-5-9:23520,3 → 9 → 5:118930
202636030809,続石賞(B1B2),,1400,ダート,稍,9,8,10,ドナマギー,牝5,54.0,村上忍,1:32.7,クビ,,40.3,36.2,11,,,2026,36,03,08,9,3:610,3:190|9:930|5:600,3-9:6840,3-9:12900,3-9:2120|3-5:1240|5-9:5070,3-5-9:23520,3 → 9 → 5:118930
202636030809,続石賞(B1B2),,1400,ダート,稍,10,6,7,ワイマング,セ5,54.0,関本玲花,1:32.8,クビ,,40.2,4.6,2,,,2026,36,03,08,9,3:610,3:190|9:930|5:600,3-9:6840,3-9:12900,3-9:2120|3-5:1240|5-9:5070,3-5-9:23520,3 → 9 → 5:118930
202636030809,続石賞(B1B2),,1400,ダート,稍,11,6,6,メイショウニコニコ,牝5,50.0,★斉藤友香,1:33.1,1.1/2,,40.9,7.9,6,,,2026,36,03,08,9,3:610,3:190|9:930|5:600,3-9:6840,3-9:12900,3-9:2120|3-5:1240|5-9:5070,3-5-9:23520,3 → 9 → 5:118930
202636030810,B1三組,,1600,ダート,稍,1,8,9,ヤマニンビロー,セ6,56.0,小林凌,1:45.2,,,39.9,57.4,6,,,2026,36,03,08,10,9:5740,9:490|3:190|6:190,3-9:6990,9-3:28040,3-9:1280|6-9:1850|3-6:300,3-6-9:5660,9 → 3 → 6:110950
202636030810,B1三組,,1600,ダート,稍,2,3,3,アドマイヤルプス,セ9,56.0,山本政聡,1:45.4,1,,40.2,4.1,3,,,2026,36,03,08,10,9:5740,9:490|3:190|6:190,3-9:6990,9-3:28040,3-9:1280|6-9:1850|3-6:300,3-6-9:5660,9 → 3 → 6:110950
202636030810,B1三組,,1600,ダート,稍,3,6,6,ファリア,牡4,56.0,村上忍,1:45.8,2.1/2,,40.4,4.3,4,,,2026,36,03,08,10,9:5740,9:490|3:190|6:190,3-9:6990,9-3:28040,3-9:1280|6-9:1850|3-6:300,3-6-9:5660,9 → 3 → 6:110950
202636030810,B1三組,,1600,ダート,稍,4,2,2,マチカゼ,牡6,56.0,山本聡哉,1:45.8,アタマ,,40.7,3.9,2,,,2026,36,03,08,10,9:5740,9:490|3:190|6:190,3-9:6990,9-3:28040,3-9:1280|6-9:1850|3-6:300,3-6-9:5660,9 → 3 → 6:110950
202636030810,B1三組,,1600,ダート,稍,5,7,7,タイセイストラーダ,牡7,56.0,高松亮,1:45.8,アタマ,,39.8,2.5,1,,,2026,36,03,08,10,9:5740,9:490|3:190|6:190,3-9:6990,9-3:28040,3-9:1280|6-9:1850|3-6:300,3-6-9:5660,9 → 3 → 6:110950
202636030810,B1三組,,1600,ダート,稍,6,1,1,タイキクラージュ,牡6,56.0,鈴木祐,1:46.0,1.1/4,,40.0,14.9,5,,,2026,36,03,08,10,9:5740,9:490|3:190|6:190,3-9:6990,9-3:28040,3-9:1280|6-9:1850|3-6:300,3-6-9:5660,9 → 3 → 6:110950
202636030810,B1三組,,1600,ダート,稍,7,8,8,ランペイジシチー,牡6,56.0,菅原辰徳,1:47.4,9,,41.1,58.5,7,,,2026,36,03,08,10,9:5740,9:490|3:190|6:190,3-9:6990,9-3:28040,3-9:1280|6-9:1850|3-6:300,3-6-9:5660,9 → 3 → 6:110950
202636030810,B1三組,,1600,ダート,稍,8,4,4,ヤマニンバルトロ,牡8,56.0,佐々木志,1:47.7,1.3/4,,41.3,75.3,9,,,2026,36,03,08,10,9:5740,9:490|3:190|6:190,3-9:6990,9-3:28040,3-9:1280|6-9:1850|3-6:300,3-6-9:5660,9 → 3 → 6:110950
202636030810,B1三組,,1600,ダート,稍,9,5,5,サムズアップ,牡9,56.0,大坪慎,1:48.3,4,,41.8,67.1,8,,,2026,36,03,08,10,9:5740,9:490|3:190|6:190,3-9:6990,9-3:28040,3-9:1280|6-9:1850|3-6:300,3-6-9:5660,9 → 3 → 6:110950
202636030811,スプリングカップ重賞,,1400,ダート,稍,1,1,1,ディオニス,牡3,56.0,山本聡哉,1:29.3,,,39.5,1.1,1,,,2026,36,03,08,11,1:110,1:100|4:230|3:500,1-4:590,1-4:690,1-4:380|1-3:880|3-4:3880,1-3-4:4490,1 → 4 → 3:9080
202636030811,スプリングカップ重賞,,1400,ダート,稍,2,4,4,ロジータサンライズ,牡3,56.0,山本政聡,1:30.4,7,,40.8,31.2,5,,,2026,36,03,08,11,1:110,1:100|4:230|3:500,1-4:590,1-4:690,1-4:380|1-3:880|3-4:3880,1-3-4:4490,1 → 4 → 3:9080
202636030811,スプリングカップ重賞,,1400,ダート,稍,3,3,3,ブライオン,牡3,56.0,佐々木志,1:30.6,1.1/4,,39.8,65.3,10,,,2026,36,03,08,11,1:110,1:100|4:230|3:500,1-4:590,1-4:690,1-4:380|1-3:880|3-4:3880,1-3-4:4490,1 → 4 → 3:9080
202636030811,スプリングカップ重賞,,1400,ダート,稍,4,8,9,ササキントサブロウ,牡3,56.0,小林凌,1:31.2,4,,40.2,38.5,6,,,2026,36,03,08,11,1:110,1:100|4:230|3:500,1-4:590,1-4:690,1-4:380|1-3:880|3-4:3880,1-3-4:4490,1 → 4 → 3:9080
202636030811,スプリングカップ重賞,,1400,ダート,稍,5,6,6,マイダスタッチ,牝3,54.0,高橋悠里,1:31.4,1.1/2,,41.1,62.2,8,,,2026,36,03,08,11,1:110,1:100|4:230|3:500,1-4:590,1-4:690,1-4:380|1-3:880|3-4:3880,1-3-4:4490,1 → 4 → 3:9080
202636030811,スプリングカップ重賞,,1400,ダート,稍,6,2,2,イタズラベガ,牝3,54.0,高松亮,1:32.4,6,,42.8,7.1,2,,,2026,36,03,08,11,1:110,1:100|4:230|3:500,1-4:590,1-4:690,1-4:380|1-3:880|3-4:3880,1-3-4:4490,1 → 4 → 3:9080
202636030811,スプリングカップ重賞,,1400,ダート,稍,7,7,7,キララカ,牝3,54.0,村上忍,1:32.6,1,,41.2,17.2,3,,,2026,36,03,08,11,1:110,1:100|4:230|3:500,1-4:590,1-4:690,1-4:380|1-3:880|3-4:3880,1-3-4:4490,1 → 4 → 3:9080
202636030811,スプリングカップ重賞,,1400,ダート,稍,8,8,10,トゥーナスタディ,牡3,56.0,菅原辰徳,1:33.4,5,,43.0,63.2,9,,,2026,36,03,08,11,1:110,1:100|4:230|3:500,1-4:590,1-4:690,1-4:380|1-3:880|3-4:3880,1-3-4:4490,1 → 4 → 3:9080
202636030811,スプリングカップ重賞,,1400,ダート,稍,9,7,8,フォーエバートライ,牝3,54.0,鈴木祐,1:33.5,1/2,,43.1,41.6,7,,,2026,36,03,08,11,1:110,1:100|4:230|3:500,1-4:590,1-4:690,1-4:380|1-3:880|3-4:3880,1-3-4:4490,1 → 4 → 3:9080
202636030811,スプリングカップ重賞,,1400,ダート,稍,10,5,5,ラブコラージェン,牡3,56.0,阿部英俊,1:36.8,大,,47.0,17.4,4,,,2026,36,03,08,11,1:110,1:100|4:230|3:500,1-4:590,1-4:690,1-4:380|1-3:880|3-4:3880,1-3-4:4490,1 → 4 → 3:9080
202636030908,3歳B2一組,,1400,ダート,稍,1,6,6,リコーホーク,牡3,56.0,佐々木志,1:31.4,,,40.8,5.0,4,,,2026,36,03,09,8,6:500,6:170|9:150|3:140,6-9:1240,6-9:2370,6-9:490|3-6:370|3-9:270,3-6-9:1370,6 → 9 → 3:8850
202636030908,3歳B2一組,,1400,ダート,稍,2,7,9,アドレニコル,牝3,54.0,村上忍,1:31.7,2,,41.0,3.9,2,,,2026,36,03,09,8,6:500,6:170|9:150|3:140,6-9:1240,6-9:2370,6-9:490|3-6:370|3-9:270,3-6-9:1370,6 → 9 → 3:8850
202636030908,3歳B2一組,,1400,ダート,稍,3,3,3,フジフックハンド,牡3,56.0,菅原辰徳,1:32.4,4,,41.3,3.2,1,,,2026,36,03,09,8,6:500,6:170|9:150|3:140,6-9:1240,6-9:2370,6-9:490|3-6:370|3-9:270,3-6-9:1370,6 → 9 → 3:8850
202636030908,3歳B2一組,,1400,ダート,稍,4,2,2,モズホンマデッカ,牝3,54.0,塚本涼人,1:32.4,クビ,,40.9,22.0,8,,,2026,36,03,09,8,6:500,6:170|9:150|3:140,6-9:1240,6-9:2370,6-9:490|3-6:370|3-9:270,3-6-9:1370,6 → 9 → 3:8850
202636030908,3歳B2一組,,1400,ダート,稍,5,6,7,ジュエルレジーナ,牝3,54.0,小林凌,1:32.9,3,,40.8,121.6,10,,,2026,36,03,09,8,6:500,6:170|9:150|3:140,6-9:1240,6-9:2370,6-9:490|3-6:370|3-9:270,3-6-9:1370,6 → 9 → 3:8850
202636030908,3歳B2一組,,1400,ダート,稍,6,4,4,レヨンドルミエール,牡3,54.0,△坂井瑛音,1:33.1,1.1/4,,42.0,16.2,7,,,2026,36,03,09,8,6:500,6:170|9:150|3:140,6-9:1240,6-9:2370,6-9:490|3-6:370|3-9:270,3-6-9:1370,6 → 9 → 3:8850
202636030908,3歳B2一組,,1400,ダート,稍,7,1,1,リフレララ,牝3,54.0,高松亮,1:33.1,アタマ,,40.9,25.2,9,,,2026,36,03,09,8,6:500,6:170|9:150|3:140,6-9:1240,6-9:2370,6-9:490|3-6:370|3-9:270,3-6-9:1370,6 → 9 → 3:8850
202636030908,3歳B2一組,,1400,ダート,稍,8,8,10,コンバットキャモ,牝3,54.0,岩本怜,1:33.2,クビ,,42.4,15.5,6,,,2026,36,03,09,8,6:500,6:170|9:150|3:140,6-9:1240,6-9:2370,6-9:490|3-6:370|3-9:270,3-6-9:1370,6 → 9 → 3:8850
