jockey,rides,wins,j_score
オシェア,135,6,1.46
キング,139,16,3.78
キングス,71,5,2.31
シュタル,89,8,2.95
ドイル,88,4,1.49
ピーヒュ,87,4,1.51
マーカン,108,14,4.26
ムルザバ,83,13,5.15
ムーア,50,9,5.91
モレイラ,108,28,8.52
ルメート,143,15,3.45
ルメール,552,168,10.0
三浦皇成,610,51,2.75
上野翔,80,14,5.75
中井裕二,115,5,1.43
中村将之,61,3,1.62
丸山元気,404,22,1.79
丸田恭介,410,14,1.12
丹内祐次,759,57,2.47
亀田温心,239,13,1.79
五十嵐雄,72,7,3.19
井上敏樹,35,1,0.94
今村聖奈,154,6,1.28
伊藤工真,78,2,0.84
伴啓太,73,7,3.15
佐々木大,629,65,3.4
佐藤翔馬,159,2,0.41
内田博幸,481,16,1.09
加藤祥太,46,1,0.71
勝浦正樹,43,4,3.06
北村友一,398,47,3.88
北村宏司,350,15,1.41
原優介,676,25,1.22
原田和真,123,0,0.0
古川吉洋,362,10,0.91
古川奈穂,174,9,1.7
吉村誠之,377,20,1.74
吉田豊,462,25,1.78
吉田隼人,135,9,2.19
和田竜二,474,29,2.01
和田翼,34,0,0.0
団野大成,604,52,2.83
国分優作,247,7,0.93
国分恭介,184,7,1.25
土田真翔,82,0,0.0
坂井瑠星,570,89,5.13
坂口智康,40,2,1.64
城戸義政,62,1,0.53
大江原圭,69,4,1.9
大江原比,198,4,0.66
大野拓弥,548,26,1.56
太宰啓介,105,3,0.94
宮崎北斗,47,2,1.4
富田暁,322,8,0.82
小崎綾也,205,8,1.28
小林凌大,156,0,0.0
小林勝太,513,25,1.6
小林美駒,204,15,2.42
小林脩斗,171,1,0.19
小沢大仁,416,16,1.26
小牧加矢,61,11,5.93
小野寺祐,45,1,0.73
岩田康誠,368,36,3.21
岩田望来,610,79,4.26
岩部純二,139,1,0.24
嶋田純次,171,5,0.96
川又賢治,96,5,1.71
川田将雅,397,112,9.27
川端海翼,223,6,0.88
川須栄彦,176,3,0.56
幸英明,540,26,1.58
戸崎圭太,755,133,5.79
斎藤新,343,24,2.3
木幡初也,116,3,0.85
木幡巧也,592,24,1.33
木幡育也,98,4,1.34
杉原誠人,390,16,1.35
松山弘平,650,85,4.3
松岡正海,463,22,1.56
松本大輝,145,4,0.91
松若風馬,264,11,1.37
柴田善臣,202,9,1.46
柴田大知,375,8,0.7
柴田裕一,255,15,1.93
森一馬,53,7,4.34
横山典弘,238,18,2.48
横山和生,618,55,2.92
横山武史,750,102,4.47
横山琉人,325,15,1.52
橋木太希,87,1,0.38
武士沢友,49,2,1.34
武藤雅,292,11,1.24
武豊,471,78,5.44
水口優也,109,5,1.51
水沼元輝,81,0,0.0
永島まな,509,22,1.42
永野猛蔵,510,28,1.8
江田勇亮,40,5,4.11
江田照男,234,7,0.98
池添謙一,317,33,3.42
河原田菜,241,4,0.55
泉谷楓真,130,3,0.76
津村明秀,546,44,2.65
浜中俊,271,26,3.15
田中健,82,2,0.8
田口貫太,544,28,1.69
田辺裕信,521,40,2.52
的場勇人,55,0,0.0
石川裕紀,509,35,2.26
石橋脩,482,22,1.5
石田拓郎,228,7,1.01
石神深一,90,9,3.29
石神深道,240,4,0.55
秋山稔樹,231,7,1.0
草野太郎,50,2,1.31
荻野極,367,28,2.51
荻野琢真,101,4,1.3
菅原明良,746,57,2.51
菅原隆一,37,1,0.89
菊沢一樹,500,22,1.45
菱田裕二,367,22,1.97
藤岡佑介,362,31,2.81
藤岡康太,76,7,3.03
藤懸貴志,223,9,1.33
藤田菜七,237,6,0.83
西塚洸二,437,37,2.78
西村淳也,662,60,2.98
角田大和,296,12,1.33
角田大河,332,18,1.78
酒井学,349,22,2.07
野中悠太,377,9,0.78
長岡禎仁,181,11,2.0
長浜鴻緒,461,19,1.35
高倉稜,92,2,0.71
高杉吏麒,420,47,3.68
高田潤,38,10,8.65
鮫島克駿,651,66,3.33
鮫島良太,62,1,0.53
鷲頭虎太,97,0,0.0
黒岩悠,38,1,0.86
黛弘人,294,9,1.01
Ｃ．デム,93,23,8.13
Ｍ．デム,391,32,2.69
