race_id,race_name,grade,距離,コース,馬場状態,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過順,上がり3F,単勝オッズ,人気,馬体重,年,場コード,回次,日次,レース番号,単勝払戻,複勝払戻,馬連払戻,馬単払戻,ワイド払戻,三連複払戻,三連単払戻
202606020201,,,1800,ダート,稍重,1,8,15,ピュアエンブレム,牝3,55,岩田康誠,1:55.2,,11-11-7-5,39.7,4.8,2,498(+18),2026,06,02,02,01,15:480,15:240|6:150|8:220,6 - 15:1120,15 → 6:1860,6 - 15:570|8 - 15:1360|6 - 8:540,6 - 8 - 15:4800,15 → 6 → 8:26830
202606020201,,,1800,ダート,稍重,2,3,6,サラサチャチャチャ,牝3,55,江田照男,1:55.3,クビ,7-7-3-3,40.2,3.9,1,464(-4),2026,06,02,02,01,15:480,15:240|6:150|8:220,6 - 15:1120,15 → 6:1860,6 - 15:570|8 - 15:1360|6 - 8:540,6 - 8 - 15:4800,15 → 6 → 8:26830
202606020201,,,1800,ダート,稍重,3,4,8,ロジマギー,牝3,55,丸山元気,1:55.8,3,2-2-2-2,41.0,8.1,5,468(0),2026,06,02,02,01,15:480,15:240|6:150|8:220,6 - 15:1120,15 → 6:1860,6 - 15:570|8 - 15:1360|6 - 8:540,6 - 8 - 15:4800,15 → 6 → 8:26830
202606020201,,,1800,ダート,稍重,4,1,1,バイアブランカ,牝3,55,津村明秀,1:56.3,3.1/2,5-4-3-4,41.3,4.9,4,506(-4),2026,06,02,02,01,15:480,15:240|6:150|8:220,6 - 15:1120,15 → 6:1860,6 - 15:570|8 - 15:1360|6 - 8:540,6 - 8 - 15:4800,15 → 6 → 8:26830
202606020201,,,1800,ダート,稍重,5,4,7,イデアクリスタル,牝3,55,横山和生,1:56.7,2,14-13-8-8,41.1,4.9,3,472(-4),2026,06,02,02,01,15:480,15:240|6:150|8:220,6 - 15:1120,15 → 6:1860,6 - 15:570|8 - 15:1360|6 - 8:540,6 - 8 - 15:4800,15 → 6 → 8:26830
202606020201,,,1800,ダート,稍重,6,6,12,ロココ,牝3,53,長浜鴻緒,1:56.7,ハナ,4-4-5-5,41.5,8.4,6,458(+4),2026,06,02,02,01,15:480,15:240|6:150|8:220,6 - 15:1120,15 → 6:1860,6 - 15:570|8 - 15:1360|6 - 8:540,6 - 8 - 15:4800,15 → 6 → 8:26830
202606020201,,,1800,ダート,稍重,7,5,9,フライスカイハイ,牝3,55,吉田豊,1:56.7,クビ,10-10-10-9,40.6,112.7,10,430(+12),2026,06,02,02,01,15:480,15:240|6:150|8:220,6 - 15:1120,15 → 6:1860,6 - 15:570|8 - 15:1360|6 - 8:540,6 - 8 - 15:4800,15 → 6 → 8:26830
202606020201,,,1800,ダート,稍重,8,5,10,ダイユウアドバンス,牝3,52,佐藤翔馬,1:57.1,2,13-13-12-10,40.7,169.1,11,500(-4),2026,06,02,02,01,15:480,15:240|6:150|8:220,6 - 15:1120,15 → 6:1860,6 - 15:570|8 - 15:1360|6 - 8:540,6 - 8 - 15:4800,15 → 6 → 8:26830
202606020201,,,1800,ダート,稍重,9,1,2,ビレッジルイーザ,牝3,55,荻野極,1:57.8,4,1-1-1-1,43.1,23.2,8,436(-4),2026,06,02,02,01,15:480,15:240|6:150|8:220,6 - 15:1120,15 → 6:1860,6 - 15:570|8 - 15:1360|6 - 8:540,6 - 8 - 15:4800,15 → 6 → 8:26830
202606020201,,,1800,ダート,稍重,10,2,4,トレンドラド,牝3,55,杉原誠人,1:57.8,クビ,11-11-11-10,41.6,255.5,14,444(-10),2026,06,02,02,01,15:480,15:240|6:150|8:220,6 - 15:1120,15 → 6:1860,6 - 15:570|8 - 15:1360|6 - 8:540,6 - 8 - 15:4800,15 → 6 → 8:26830
