horse,dist_course,dc_n,dc_wins,dc_wr
アイアムイチリュウ,1700_ダート,2,0,0.0
アイアムイチリュウ,1800_ダート,1,0,0.0
アイアムイチリュウ,2100_ダート,1,0,0.0
アイアムハヤスギル,1000_芝,1,0,0.0
アイアムハヤスギル,1200_ダート,1,0,0.0
アイアムユウシュン,1150_ダート,1,0,0.0
アイアムユウシュン,1200_ダート,2,1,0.5
アイアムユウシュン,1400_ダート,3,0,0.0
アイアンソリッド,1150_ダート,1,0,0.0
アイアンバローズ,3600_芝,1,0,0.0
アイウィル,1700_ダート,2,1,0.5
アイウィル,1800_ダート,3,0,0.0
アイオブザストーム,1200_芝,4,0,0.0
アイオブザストーム,1400_ダート,2,0,0.0
アイオブザストーム,1400_芝,2,0,0.0
アイオブザストーム,1600_芝,2,0,0.0
アイオライト,1400_ダート,3,0,0.0
アイオリア,1600_ダート,1,0,0.0
アイガーリー,1600_芝,1,0,0.0
アイキャンドウイッ,1600_芝,2,0,0.0
アイキャンドウイッ,1800_芝,4,1,0.25
アイキャンドウイッ,2000_芝,2,0,0.0
アイコンテーラー,2000_ダート,1,0,0.0
アイサンサン,1400_芝,1,0,0.0
アイサンサン,1600_芝,3,2,0.6666666666666666
アイサンサン,1800_芝,1,0,0.0
アイサンサン,2400_芝,1,0,0.0
アイザックバローズ,2000_芝,2,0,0.0
アイザックバローズ,2200_芝,1,0,0.0
アイザックバローズ,2400_芝,1,0,0.0
アイザックバローズ,2500_芝,3,0,0.0
アイザックバローズ,2600_芝,2,0,0.0
アイスグリーン,1600_芝,4,0,0.0
アイスグリーン,1800_芝,5,0,0.0
アイスグリーン,2000_芝,4,1,0.25
アイスフィールド,1600_芝,1,0,0.0
アイスブレイカー,1200_ダート,1,0,0.0
アイスブレイカー,1400_ダート,1,0,0.0
アイスマン,1200_ダート,1,0,0.0
アイスランドポピー,2000_芝,2,0,0.0
アイスリンディ,1150_ダート,1,0,0.0
アイスリンディ,1200_芝,1,0,0.0
アイスリンディ,1400_ダート,1,0,0.0
アイスリンディ,1700_ダート,1,0,0.0
アイスリーディング,1800_ダート,1,0,0.0
アイズ,1200_ダート,3,1,0.3333333333333333
アイズ,1400_ダート,1,0,0.0
アイソラシー,1200_ダート,1,0,0.0
アイソラシー,1200_芝,1,0,0.0
アイタカ,1200_芝,1,0,0.0
アイタカ,1800_ダート,1,0,0.0
アイタカ,2000_芝,1,0,0.0
アイニードユー,1400_芝,1,0,0.0
アイノセンシ,1000_ダート,1,0,0.0
アイノセンシ,1000_芝,1,0,0.0
アイノセンシ,1200_芝,4,0,0.0
アイビーヒメチャン,1200_ダート,1,0,0.0
アイビーヒメチャン,1600_ダート,1,0,0.0
アイファーエポック,1600_ダート,1,1,1.0
アイファーエポック,1800_ダート,6,0,0.0
アイファーキャップ,1800_ダート,1,0,0.0
アイファーキャップ,1900_ダート,1,0,0.0
アイファーキャップ,2400_ダート,2,0,0.0
アイファーグローブ,1700_ダート,5,0,0.0
アイファーグローブ,1800_ダート,8,1,0.125
アイファーシアトル,1150_ダート,1,0,0.0
アイファーシアトル,1200_ダート,7,0,0.0
アイファースキャン,1000_ダート,1,0,0.0
アイファースキャン,1150_ダート,1,0,0.0
アイファースキャン,1200_ダート,2,0,0.0
アイファースキャン,1400_ダート,4,1,0.25
アイファーテイオー,1600_ダート,2,0,0.0
アイファーテイオー,1700_ダート,7,2,0.2857142857142857
アイファーテイオー,1800_ダート,4,0,0.0
アイファーテイオー,2000_ダート,1,0,0.0
アイファーテイオー,2100_ダート,2,0,0.0
アイファーバトル,1400_芝,3,0,0.0
アイファーバトル,1600_ダート,2,0,0.0
アイファーバトル,1800_芝,1,0,0.0
アイファーファイト,1400_ダート,2,0,0.0
アイファーファイト,1600_芝,1,0,0.0
アイファーファイト,1700_ダート,1,0,0.0
アイファーマオ,1200_ダート,1,0,0.0
アイファーリーベン,1150_ダート,1,0,0.0
アイファーリーベン,1200_ダート,1,0,0.0
