race_id,馬名,単勝オッズ,人気,騎手,馬体重,馬番
20260328_01R_3歳未勝利,ジェイエルグリーン,73.4,8,横山和,448(-2),1
20260328_01R_3歳未勝利,シシリアンキッス,73.4,8,小林脩,440(-6),1
20260328_01R_3歳未勝利,ニシノギャルズ,401.9,15,武藤,474(+4),2
20260328_01R_3歳未勝利,ラブカニュー,401.9,15,秋山稔,454(-14),2
20260328_01R_3歳未勝利,アインプロージット,15.8,4,佐々木,402(0),3
20260328_01R_3歳未勝利,オーシャンステラ,15.8,4,▲石田,416(-6),3
20260328_01R_3歳未勝利,アイムインディ,413.3,16,ルメール,454(+6),4
20260328_01R_3歳未勝利,キタノエンブラ,413.3,16,▲上里,460(0),4
20260328_01R_3歳未勝利,マジェステラ,147.4,10,ディー,472(-6),5
20260328_01R_3歳未勝利,ミュージックレイン,147.4,10,江田照,454(+2),5
20260328_01R_3歳未勝利,マリノレーヴェ,13.3,3,横山琉,482(+2),6
20260328_01R_3歳未勝利,ゴーゴーマンゴー,13.3,3,△長浜,412(+4),6
20260328_01R_3歳未勝利,アシャカロッケ,1.5,1,黛,450(0),7
20260328_01R_3歳未勝利,カプリースカラー,1.5,1,丹内,416(0),7
20260328_01R_3歳未勝利,タカラエイティ,367.3,14,▲遠藤,426(0),8
20260328_01R_3歳未勝利,パストゥザスターズ,367.3,14,菊沢,432(0),8
20260328_02R_3歳未勝利,ピグマリオン,225.5,12,黛,452(-2),1
20260328_02R_3歳未勝利,タニセンローマ,225.5,12,横山琉,464(+4),1
20260328_02R_3歳未勝利,セニング,19.8,6,田辺,454(-2),2
20260328_02R_3歳未勝利,ターフクリスタル,19.8,6,石橋脩,462(+6),2
20260328_02R_3歳未勝利,ツキノコブネ,29.0,7,菅原隆,448(-2),3
20260328_02R_3歳未勝利,ロードプレリュード,29.0,7,木幡巧,488(-6),3
20260328_02R_3歳未勝利,マイネルゼーロス,320.0,15,丹内,488(+8),4
20260328_02R_3歳未勝利,ホウオウファラオ,320.0,15,石川,474(-14),4
20260328_02R_3歳未勝利,トレンドマーチ,482.1,16,野中,602(+6),5
20260328_02R_3歳未勝利,マコトアタキギリ,482.1,16,横山和,436(0),5
20260328_02R_3歳未勝利,アンシュウマト,82.2,10,三浦,444(-6),6
20260328_02R_3歳未勝利,サクセスドラム,82.2,10,菊沢,470(0),6
20260328_02R_3歳未勝利,ミリオンヴォイス,4.3,3,西村淳,470(-10),7
